8.46292	0.243462	-3.03909	-0.087429	8.46292	0.243462	8.6	0.25	-3.00029	0
8.4473	0.251473	-1.09145	0.0894688	8.44818	0.251553	8.45	0.25	-3.00027	0
8.47197	0.240799	0.000720782	-0.211052	8.56759	0.241943	8.45	0.25	0	0
8.46435	0.252214	-0.0103958	0.0241299	8.45582	0.253997	8.45	0.25	0	0
8.37803	0.252351	-1.37121	-0.00950196	8.42544	0.254042	8.35	0.25	-1.81979	0
8.28316	0.250677	-1.39066	-0.0135803	8.23962	0.24916	8.25	0.25	-1.81978	0
8.077	0.227257	-3.13108	-0.165789	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.90142	0.184957	-3.15207	-0.3192	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.73285	0.166099	-3.20181	-0.33146	7.61269	0.155818	7.7	0.15	-2.99982	0
7.56572	0.154819	-3.21292	-0.309918	7.54016	0.159641	7.55	0.15	-2.99982	0
7.46418	0.125748	-2.26595	-0.346794	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.34042	0.0729274	-2.26348	-0.475506	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.18625	0.0374786	-2.6478	-0.511904	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.04338	-0.0188187	-2.64286	-0.620013	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.94505	-0.0816382	-1.95203	-0.74072	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.83967	-0.182061	-1.95147	-0.973584	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.73199	-0.261122	-2.03846	-1.09207	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.63125	-0.376662	-2.04477	-1.33262	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.59118	-0.486036	-1.267	-1.55241	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.53213	-0.598346	-1.26633	-1.68925	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.49466	-0.744853	-0.788339	-1.95172	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.44705	-0.934766	-0.824093	-2.2793	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.35435	-1.06899	-1.40853	-2.23722	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.27036	-1.21686	-1.4349	-2.33634	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.33945	-1.43493	0.380637	-3.01359	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.35793	-1.62313	0.362382	-3.10233	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.30068	-1.75035	-0.579188	-2.77824	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.26277	-1.91479	-0.617079	-2.87926	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.30188	-2.10791	0.292355	-3.32108	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.32512	-2.25841	0.324134	-3.25858	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
